HUMAN,Monday A BHS,Monday A Red,Monday A Blue,Tuesday A BHS,Tuesday  A Red,Tuesday A Blue,Wednesday A BHS,Wednesday A Red,Wednesday A Blue,Thursday A BHS,Thursday A Red,Thursday A Blue,Friday A BHS,Friday A Red,Friday A Blue,Monday B BHS,Monday B Red,Monday B Blue,Tuesday B BHS,Tuesday B Red,Tuesday B Blue,Wednesday B BHS,Wednesday B Red,Wednesday B Blue,Thursday B BHS,Thursday B Red,Thursday B Blue,Friday B  BHS,Friday B Red,Friday B Blue
9:24 AM,P,P,B1,C1,T-H2,E2,B2,B2,B2,B3,B3,B3,B4,B4,C3,A4,A4,T3,A5,A5,A5,P,P,B6,FC,FC,FC,A7,A7,P
9:25 AM,B1,B1,B1,P,T-H2,E2,B2,B2,B2,P,P,B3,B4,B4,C3,P,PB2O,T3,P,P,A5,B6,B6,B6,FC,FC,FC,A7,A7,B7
9:26 AM,B1,B1,B1,P,T-H2,E2,B2,B2,B2,P,P,B3,B4,B4,C3,P,PB2O,T3,P,P,A5,B6,B6,B6,FC,FC,FC,A7,A7,B7
9:27 AM,B1,B1,B1,P,T-H2,E2,B2,B2,B2,P,P,B3,B4,B4,C3,P,PB2O,T3,P,P,A5,B6,B6,B6,FC,FC,FC,A7,A7,B7
9:28 AM,B1,B1,B1,P,T-H2,E2,B2,B2,B2,P,P,B3,B4,B4,C3,P,PB2O,T3,P,P,A5,B6,B6,B6,FC,FC,FC,A7,A7,B7
9:29 AM,B1,B1,B1,P,T-H2,E2,B2,B2,B2,P,P,B3,B4,B4,C3,P,PB2O,T3,P,P,A5,B6,B6,B6,FC,FC,FC,A7,A7,B7
9:30 AM,B1,B1,B1,E2,T-H2,E2,B2,B2,B2,A3,A3,B3,B4,B4,C3,T3,PB2O,T3,B5,B5,A5,B6,B6,B6,P,P,P,A7,A7,B7
9:31 AM,B1,B1,B1,E2,T-H2,E2,B2,B2,B2,A3,A3,B3,B4,B4,C3,T3,PB2O,T3,B5,B5,A5,B6,B6,B6,P,P,P,A7,A7,B7
9:32 AM,B1,B1,B1,E2,T-H2,E2,B2,B2,B2,A3,A3,B3,B4,B4,C3,T3,PB2O,T3,B5,B5,A5,B6,B6,B6,P,P,P,A7,A7,B7
9:33 AM,B1,B1,B1,E2,T-H2,E2,B2,B2,B2,A3,A3,B3,B4,B4,C3,T3,PB2O,T3,B5,B5,A5,B6,B6,B6,P,P,P,A7,A7,B7
9:34 AM,B1,B1,B1,E2,T-H2,E2,B2,B2,B2,A3,A3,B3,B4,B4,C3,T3,PB2O,P,B5,B5,A5,B6,B6,B6,P,P,P,A7,A7,B7
